ID,Tournament,Year
2017-M010,'S-Hertogenbosch,2017
2016-M004,Acapulco,2016
2017-M004,Acapulco,2017
2018-M004,Acapulco,2018
2017-7650,Antalya,2017
2018-7650,Antalya,2018
2016-7485,Antwerp,2016
2017-7485,Antwerp,2017
2016-6116,Atlanta,2016
2017-6116,Atlanta,2017
2018-6116,Atlanta,2018
2016-0301,Auckland,2016
2017-0301,Auckland,2017
2018-0301,Auckland,2018
2016-580,Australian Open,2016
2017-580,Australian Open,2017
2018-580,Australian Open,2018
2016-0425,Barcelona,2016
2017-0425,Barcelona,2017
2018-0425,Barcelona,2018
2016-0328,Basel,2016
2017-0328,Basel,2017
2016-0316,Bastad,2016
2017-0316,Bastad,2017
2018-0316,Bastad,2018
2016-M015,Beijing,2016
2017-M015,Beijing,2017
2016-M020,Brisbane,2016
2017-M020,Brisbane,2017
2018-M020,Brisbane,2018
2016-0773,Bucharest,2016
2017-7648,Budapest,2017
2018-7648,Budapest,2018
2016-0506,Buenos Aires,2016
2017-0506,Buenos Aires,2017
2018-0506,Buenos Aires,2018
2018-7480,Cabo San Lucas,2018
2016-0421,Canada Masters,2016
2017-0421,Canada Masters,2017
2018-0421,Canada Masters,2018
2016-7581,Chengdu,2016
2017-7581,Chengdu,2017
2016-0891,Chennai,2016
2017-0891,Chennai,2017
2016-M024,Cincinnati Masters,2016
2017-M024,Cincinnati Masters,2017
2018-M024,Cincinnati Masters,2018
2016-M-DC,Davis Cup,2016
2017-M-DC,Davis Cup,2017
2018-M-DC,Davis Cup,2018
2016-0499,Delray Beach,2016
2017-0499,Delray Beach,2017
2018-0499,Delray Beach,2018
2016-0451,Doha,2016
2017-0451,Doha,2017
2018-0451,Doha,2018
2016-0495,Dubai,2016
2017-0495,Dubai,2017
2018-0495,Dubai,2018
2017-M016,Eastbourne,2017
2018-M016,Eastbourne,2018
2016-7290,Estoril,2016
2017-7290,Estoril,2017
2018-7290,Estoril,2018
2016-0322,Geneva,2016
2017-0322,Geneva,2017
2018-0322,Geneva,2018
2016-0314,Gstaad,2016
2017-0314,Gstaad,2017
2018-0314,Gstaad,2018
2016-0500,Halle,2016
2017-0500,Halle,2017
2018-0500,Halle,2018
2016-0414,Hamburg,2016
2017-0414,Hamburg,2017
2018-0414,Hamburg,2018
2016-0717,Houston,2016
2017-0717,Houston,2017
2018-0717,Houston,2018
2016-M006,Indian Wells Masters,2016
2017-M006,Indian Wells Masters,2017
2018-M006,Indian Wells Masters,2018
2016-7163,Istanbul,2016
2017-7163,Istanbul,2017
2018-7163,Istanbul,2018
2016-0319,Kitzbuhel,2016
2017-0319,Kitzbuhel,2017
2018-0319,Kitzbuhel,2018
2016-0311,London,2016
2016-0605,London,2016
2017-0311,London,2017
2017-0605,London,2017
2018-0311,London,2018
2016-7480,Los Cabos,2016
2017-7480,Los Cabos,2017
2017-7694,Lyon,2017
2018-7694,Lyon,2018
2017-M021,Madrid,2017
2016-M021,Madrid Masters,2016
2018-M021,Madrid Masters,2018
2016-0360,Marrakech,2016
2017-0360,Marrakech,2017
2018-0360,Marrakech,2018
2016-0496,Marseille,2016
2017-0496,Marseille,2017
2018-0496,Marseille,2018
2016-0402,Memphis,2016
2017-0402,Memphis,2017
2016-0341,Metz,2016
2017-0341,Metz,2017
2018-0341,Metz,2018
2016-M007,Miami Masters,2016
2017-M007,Miami Masters,2017
2018-M007,Miami Masters,2018
2017-0410,Monte Carlo,2017
2016-0410,Monte Carlo Masters,2016
2018-0410,Monte Carlo Masters,2018
2016-0375,Montpellier,2016
2017-0375,Montpellier,2017
2018-0375,Montpellier,2018
2016-M014,Moscow,2016
2017-M014,Moscow,2017
2016-0308,Munich,2016
2017-0308,Munich,2017
2018-0308,Munich,2018
2018-0424,New York,2018
2016-0315,Newport,2016
2017-0315,Newport,2017
